en	(9521755, 43.28733341028451%)
de	(1889608, 8.590442781896918%)
ja	(1734418, 7.884925650659867%)
ru	(1670336, 7.593599219807796%)
fr	(1187867, 5.400222424970442%)
it	(837164, 3.8058737267538834%)
es	(648670, 2.9489515917232962%)
zh	(602312, 2.7382011363467433%)
pl	(435803, 1.9812261250370569%)
nl	(282895, 1.2860833097577533%)
ar	(229130, 1.0416595159504198%)
commons	(213203, 0.969252973330325%)
id	(210767, 0.9581785501607041%)
pt	(209557, 0.9526777077817054%)
sv	(178832, 0.8129972267116724%)
fa	(167636, 0.7620985231783904%)
ko	(144450, 0.6566914724350288%)
cs	(139259, 0.6330924040140511%)
uk	(116429, 0.529303782929304%)
fi	(108839, 0.494798498915584%)
th	(102387, 0.4654667344285586%)
www	(98303, 0.4469002548617559%)
he	(96274, 0.43767611503779824%)
hu	(84768, 0.38536810477931827%)
hi	(79876, 0.3631283354255477%)
vi	(69087, 0.31407991523792894%)
da	(66909, 0.304178398955731%)
no	(65181, 0.29632265050043344%)
el	(64454, 0.29301759892230766%)
ro	(64410, 0.2928175682903441%)
bg	(54170, 0.24626498485154383%)
ca	(40624, 0.18468282711111533%)
sr	(39168, 0.1780636316534109%)
tr	(36919, 0.16783933866963535%)
kk	(33788, 0.15360534074513502%)
hr	(33782, 0.15357806384077635%)
tl	(32557, 0.1480090292008808%)
simple	(28447, 0.1293243497151905%)
bn	(27742, 0.12611931345304653%)
sk	(23779, 0.10810291812414365%)
et	(18206, 0.08276722012566379%)
ms	(17048, 0.07750277758444009%)
lt	(17006, 0.07731183925392938%)
mr	(16927, 0.0769526933465402%)
az	(16615, 0.07553429431988926%)
sl	(12532, 0.056972360903812955%)
ta	(11914, 0.054162839754869734%)
lv	(11289, 0.0513214955508414%)
ka	(11067, 0.05031225008957054%)
sh	(10578, 0.04808918238433876%)
m	(10372, 0.04715267533469102%)
sq	(8094, 0.03679654397984855%)
hy	(7528, 0.03422342266868049%)
bs	(7042, 0.03201399341562806%)
ml	(6871, 0.031236601641405903%)
eu	(6723, 0.030563771333891994%)
eo	(6244, 0.028386165135924683%)
meta	(4784, 0.021748785075314487%)
ur	(4681, 0.021280531550490617%)
te	(4556, 0.020712262709684952%)
mk	(4511, 0.020507685926994913%)
uz	(4489, 0.020407670611013114%)
af	(4467, 0.020307655295031316%)
zh-yue	(4183, 0.01901654848872084%)
kn	(3673, 0.01669801161823372%)
ky	(3592, 0.016329773409391648%)
arz	(3527, 0.0160342736121727%)
sw	(3257, 0.014806812916032459%)
gl	(3086, 0.014029421141810309%)
nn	(2771, 0.012597383662980025%)
is	(2223, 0.010106093064887982%)
la	(2216, 0.010074270009802865%)
gu	(2168, 0.009856054774933488%)
be	(2031, 0.009233232125410478%)
si	(1864, 0.008474024954094108%)
mn	(1826, 0.008301271226489184%)
species	(1521, 0.006914695254923356%)
ast	(1251, 0.0056872345587831155%)
km	(1214, 0.005519026981904638%)
ext	(1200, 0.0054553808717344035%)
jv	(1176, 0.005346273254299715%)
zh-min-nan	(1113, 0.005059865758533659%)
yi	(1089, 0.0049507581410989715%)
cy	(1079, 0.004905296633834518%)
yo	(1070, 0.00486438127729651%)
my	(1042, 0.0047370890569560405%)
ig	(1014, 0.004609796836615571%)
ceb	(920, 0.004182458668329709%)
so	(893, 0.004059712598715685%)
sco	(888, 0.004036981845083458%)
io	(885, 0.004023343392904123%)
be-tarask	(869, 0.0039506049812809965%)
ne	(847, 0.0038505896652992%)
bar	(838, 0.003809674308761192%)
als	(827, 0.0037596666507702927%)
br	(813, 0.003696020540600058%)
ku	(807, 0.0036687436362413863%)
as	(791, 0.003596005224618261%)
pa	(772, 0.0035096283608157994%)
su	(750, 0.0034096130448340025%)
incubator	(739, 0.0033596053868431034%)
tg	(738, 0.0033550592361166584%)
lb	(720, 0.0032732285230406425%)
ia	(702, 0.0031913978099646256%)
sa	(680, 0.0030913824939828288%)
war	(667, 0.003032282534539039%)
mg	(663, 0.003014097931633258%)
nds	(651, 0.002959544122915914%)
an	(631, 0.0028686211083870073%)
ckb	(624, 0.0028367980533018896%)
oc	(597, 0.0027140519836878654%)
bh	(590, 0.0026822289286027486%)
zh-classical	(584, 0.0026549520242440763%)
ba	(563, 0.0025594828589887244%)
azb	(561, 0.0025503905575358335%)
fy	(535, 0.002432190638648255%)
tt	(528, 0.0024003675835631375%)
am	(519, 0.0023594522270251298%)
pnb	(511, 0.0023230830212135666%)
or	(500, 0.002273075363222668%)
ga	(476, 0.00216396774578798%)
tk	(452, 0.002054860128353292%)
mzn	(442, 0.0020093986210888383%)
scn	(431, 0.00195939096309794%)
cv	(413, 0.001877560250021924%)
frr	(412, 0.0018730140992954784%)
zero	(412, 0.0018730140992954784%)
fo	(409, 0.0018593756471161425%)
vo	(400, 0.0018184602905781345%)
lmo	(395, 0.0017957295369459077%)
pdc	(391, 0.0017775449340401263%)
vec	(385, 0.0017502680296814545%)
sah	(380, 0.0017275372760492277%)
ce	(369, 0.0016775296180583292%)
gan	(365, 0.0016593450151525476%)
map-bms	(358, 0.0016275219600674303%)
ang	(328, 0.0014911374382740703%)
li	(324, 0.001472952835368289%)
ilo	(323, 0.0014684066846418437%)
cdo	(321, 0.0014593143831889528%)
qu	(308, 0.0014002144237451636%)
hif	(307, 0.0013956682730187182%)
os	(307, 0.0013956682730187182%)
ht	(302, 0.0013729375193864916%)
nds-nl	(294, 0.0013365683135749288%)
beta	(292, 0.0013274760121220381%)
wa	(291, 0.001322929861395593%)
ksh	(285, 0.0012956529570369209%)
hsb	(283, 0.0012865606555840302%)
frp	(281, 0.0012774683541311395%)
hak	(281, 0.0012774683541311395%)
outreach	(278, 0.0012638299019518033%)
csb	(277, 0.0012592837512253581%)
ps	(276, 0.0012547376004989129%)
min	(275, 0.0012501914497724674%)
rm	(268, 0.00121836839468735%)
bcl	(267, 0.0012138222439609047%)
lo	(263, 0.0011956376410551233%)
rue	(261, 0.0011865453396022328%)
eml	(258, 0.0011729068874228967%)
se	(258, 0.0011729068874228967%)
gv	(254, 0.0011547222845171153%)
ha	(254, 0.0011547222845171153%)
gn	(253, 0.00115017613379067%)
bo	(251, 0.0011410838323377794%)
roa-tara	(250, 0.001136537681611334%)
lad	(238, 0.00108198387289399%)
pms	(237, 0.0010774377221675446%)
co	(236, 0.0010728915714410994%)
wuu	(234, 0.0010637992699882087%)
vls	(229, 0.001041068516355982%)
new	(227, 0.0010319762149030912%)
gd	(225, 0.0010228839134502005%)
bxr	(222, 0.0010092454612708646%)
mi	(213, 0.0009683301047328566%)
mhr	(209, 0.0009501455018270752%)
szl	(209, 0.0009501455018270752%)
pcd	(205, 0.000931960898921294%)
diq	(202, 0.0009183224467419578%)
jam	(201, 0.0009137762960155126%)
nah	(200, 0.0009092301452890673%)
vep	(194, 0.0008819532409303952%)
bat-smg	(193, 0.0008774070902039499%)
fur	(193, 0.0008774070902039499%)
dv	(189, 0.0008592224872981686%)
crh	(187, 0.0008501301858452778%)
sn	(184, 0.0008364917336659418%)
ug	(184, 0.0008364917336659418%)
